SAMPLE ID,IGSN,SOURCE,DOI,TITLE,JOURNAL,AUTHOR,EXPEDITION ID,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,MIN AGE,AGE,MAX AGE,METHOD,ANALYZED MATERIAL,ROCK TYPE,ROCK NAME,MINERAL,SIO2,TIO2,AL2O3,CR2O3,FE2O3,FE2O3T,FEO,FEOT,NIO,MNO,MGO,CAO,NA2O,K2O,P2O5,LOI,H2O
KAK83NP-2-012-002,,EARTHCHEMDB,10.1029/JB092iB10p10467,"GEOCHEMISTRY, MINERALOGY, AND PETROGENESIS OF BASALT FROM THE GORDA RIDGE",J GEOPHYS RES,"DAVIS, A S; CLAGUE, D A",KAK83NP,42.0312,-127.151,0.0001,-3425,-3425,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,49.8,1.64,15,,,,,10.3,,0.18,8.05,11,2.69,0.1,0.14,,
KAK83NP-2-012-002,,EARTHCHEMDB,,"PRELIMINARY GEOLOGICAL, GEOPHYSICAL, AND BIOLOGICAL DATA FROM THE GORDA RIDGE",US GEOL SURV OPEN FILE REP,"CLAGUE, D A; FRIESEN, W B; QUINTERNO, P; HOLMES, M; MORTON, J L; BOUSE, R; MORGENSON, L; DAVIS, A",KAK83NP,42.0312,-127.151,0.0001,-3425,-3425,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,51,1.68,14.5,,,,,10.3,,0.2,7.94,11.1,2.74,0.1,0.15,,
KAK83NP-2-012-002,,EARTHCHEMDB,,"GEOLOGY, PETROLOGY AND MINERAL POTENTIAL OF THE GORDA RIDGE",CIRCUM-PAC COUNCIL ENERGY MIN RES,"CLAGUE, D A; HOLMES, M",KAK83NP,42.0312,-127.151,0.0001,-3425,-3425,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,51,1.68,14.5,,,,,10.3,,0.2,7.94,11.1,2.74,0.1,0.15,,
KAK83NP-2-012-001,,EARTHCHEMDB,10.1029/JB092iB10p10467,"GEOCHEMISTRY, MINERALOGY, AND PETROGENESIS OF BASALT FROM THE GORDA RIDGE",J GEOPHYS RES,"DAVIS, A S; CLAGUE, D A",KAK83NP,42.0312,-127.151,0.0001,-3425,-3425,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50.2,1.76,14.5,,,,,10.6,,0.19,7.52,11.1,2.66,0.11,0.16,,
KAK83NP-2-012-001,,EARTHCHEMDB,,"PRELIMINARY GEOLOGICAL, GEOPHYSICAL, AND BIOLOGICAL DATA FROM THE GORDA RIDGE",US GEOL SURV OPEN FILE REP,"CLAGUE, D A; FRIESEN, W B; QUINTERNO, P; HOLMES, M; MORTON, J L; BOUSE, R; MORGENSON, L; DAVIS, A",KAK83NP,42.0312,-127.151,0.0001,-3425,-3425,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50,1.76,14.9,,,,,10.5,,0.21,7.25,11.8,2.84,0.12,0.19,,
KAK83NP-2-012-001,,EARTHCHEMDB,,"GEOLOGY, PETROLOGY AND MINERAL POTENTIAL OF THE GORDA RIDGE",CIRCUM-PAC COUNCIL ENERGY MIN RES,"CLAGUE, D A; HOLMES, M",KAK83NP,42.0312,-127.151,0.0001,-3425,-3425,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50,1.76,14.9,,,,,10.5,,0.21,7.25,11.8,2.84,0.12,0.19,,
KAK83NP-2-011-008,,EARTHCHEMDB,10.1029/JB092iB10p10467,"GEOCHEMISTRY, MINERALOGY, AND PETROGENESIS OF BASALT FROM THE GORDA RIDGE",J GEOPHYS RES,"DAVIS, A S; CLAGUE, D A",KAK83NP,42.1235,-127.167,0.0001,-3108,-3108,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50.2,1.65,14.7,,,,,10,,0.18,7.86,11.2,2.66,0.11,0.15,,
KAK83NP-2-011-008,,EARTHCHEMDB,,"PRELIMINARY GEOLOGICAL, GEOPHYSICAL, AND BIOLOGICAL DATA FROM THE GORDA RIDGE",US GEOL SURV OPEN FILE REP,"CLAGUE, D A; FRIESEN, W B; QUINTERNO, P; HOLMES, M; MORTON, J L; BOUSE, R; MORGENSON, L; DAVIS, A",KAK83NP,42.1235,-127.167,0.0001,-3108,-3108,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50.6,1.66,15.3,,,,,9.98,,0.19,7.77,11.3,2.65,0.11,0.17,,
KAK83NP-2-011-008,,EARTHCHEMDB,,"GEOLOGY, PETROLOGY AND MINERAL POTENTIAL OF THE GORDA RIDGE",CIRCUM-PAC COUNCIL ENERGY MIN RES,"CLAGUE, D A; HOLMES, M",KAK83NP,42.1235,-127.167,0.0001,-3108,-3108,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50.6,1.66,15.3,,,,,9.98,,0.19,7.77,11.3,2.65,0.11,0.17,,
KAK83NP-2-011-009,,EARTHCHEMDB,10.1029/JB092iB10p10467,"GEOCHEMISTRY, MINERALOGY, AND PETROGENESIS OF BASALT FROM THE GORDA RIDGE",J GEOPHYS RES,"DAVIS, A S; CLAGUE, D A",KAK83NP,42.1235,-127.167,0.0001,-3108,-3108,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50.3,1.9,14.6,,,,,11.3,,0.21,7.1,10.5,2.73,0.11,0.15,,
KAK83NP-2-011-009,,EARTHCHEMDB,,"PRELIMINARY GEOLOGICAL, GEOPHYSICAL, AND BIOLOGICAL DATA FROM THE GORDA RIDGE",US GEOL SURV OPEN FILE REP,"CLAGUE, D A; FRIESEN, W B; QUINTERNO, P; HOLMES, M; MORTON, J L; BOUSE, R; MORGENSON, L; DAVIS, A",KAK83NP,42.1235,-127.167,0.0001,-3108,-3108,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50.3,1.39,15.4,,,,,9.28,,0.2,8.24,12.11,2.63,0.08,0.11,,
KAK83NP-2-011-009,,EARTHCHEMDB,,"GEOLOGY, PETROLOGY AND MINERAL POTENTIAL OF THE GORDA RIDGE",CIRCUM-PAC COUNCIL ENERGY MIN RES,"CLAGUE, D A; HOLMES, M",KAK83NP,42.1235,-127.167,0.0001,-3108,-3108,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50.3,1.39,15.4,,,,,9.28,,0.2,8.24,12.11,2.63,0.08,0.11,,
KAK83NP-2-009-002B,,EARTHCHEMDB,,"PRELIMINARY GEOLOGICAL, GEOPHYSICAL, AND BIOLOGICAL DATA FROM THE GORDA RIDGE",US GEOL SURV OPEN FILE REP,"CLAGUE, D A; FRIESEN, W B; QUINTERNO, P; HOLMES, M; MORTON, J L; BOUSE, R; MORGENSON, L; DAVIS, A",KAK83NP,42.2572,-127.074,0.0001,-3048,-3048,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50.2,1.45,15.5,,,,,9.92,,0.2,7.84,11.9,2.46,0.09,0.15,,
KAK83NP-2-009-002B,,EARTHCHEMDB,,"GEOLOGY, PETROLOGY AND MINERAL POTENTIAL OF THE GORDA RIDGE",CIRCUM-PAC COUNCIL ENERGY MIN RES,"CLAGUE, D A; HOLMES, M",KAK83NP,42.2572,-127.074,0.0001,-3048,-3048,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50.2,1.45,15.5,,,,,9.92,,0.2,7.84,11.9,2.46,0.09,0.15,,
KAK83NP-2-009-003,,EARTHCHEMDB,10.1029/JB092iB10p10467,"GEOCHEMISTRY, MINERALOGY, AND PETROGENESIS OF BASALT FROM THE GORDA RIDGE",J GEOPHYS RES,"DAVIS, A S; CLAGUE, D A",KAK83NP,42.2572,-127.074,0.0001,-3048,-3048,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50.5,1.42,15.2,,,,,10,,0.2,7.83,11.3,2.61,0.08,0.08,,
KAK83NP-2-009-003,,EARTHCHEMDB,,"PRELIMINARY GEOLOGICAL, GEOPHYSICAL, AND BIOLOGICAL DATA FROM THE GORDA RIDGE",US GEOL SURV OPEN FILE REP,"CLAGUE, D A; FRIESEN, W B; QUINTERNO, P; HOLMES, M; MORTON, J L; BOUSE, R; MORGENSON, L; DAVIS, A",KAK83NP,42.2572,-127.074,0.0001,-3048,-3048,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50,1.49,15.1,,,,,10.1,,0.21,7.66,12.3,2.64,0.09,0.11,,
KAK83NP-2-009-003,,EARTHCHEMDB,,"GEOLOGY, PETROLOGY AND MINERAL POTENTIAL OF THE GORDA RIDGE",CIRCUM-PAC COUNCIL ENERGY MIN RES,"CLAGUE, D A; HOLMES, M",KAK83NP,42.2572,-127.074,0.0001,-3048,-3048,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50,1.49,15.1,,,,,10.1,,0.21,7.66,12.3,2.64,0.09,0.11,,
KAK83NP-2-009-002,,EARTHCHEMDB,10.1029/JB092iB10p10467,"GEOCHEMISTRY, MINERALOGY, AND PETROGENESIS OF BASALT FROM THE GORDA RIDGE",J GEOPHYS RES,"DAVIS, A S; CLAGUE, D A",KAK83NP,42.2572,-127.074,0.0001,-3048,-3048,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50.6,1.43,15.1,,,,,9.88,,0.16,5.05,11.6,2.45,0.05,0.11,,
KAK83NP-2-009-001,,EARTHCHEMDB,10.1029/JB092iB10p10467,"GEOCHEMISTRY, MINERALOGY, AND PETROGENESIS OF BASALT FROM THE GORDA RIDGE",J GEOPHYS RES,"DAVIS, A S; CLAGUE, D A",KAK83NP,42.2572,-127.074,0.0001,-3048,-3048,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50.2,1.4,15.7,,,,,9.54,,0.18,8.4,11.5,2.47,0.1,0.12,,
KAK83NP-2-009-001,,EARTHCHEMDB,10.1007/s004100050111,MELT INCLUSIONS IN HIGH-AN PLAGIOCLASE FROM THE GORDA RIDGE; AN EXAMPLE OF THE LOCAL DIVERSITY OF MORB PARENT MAGMAS,CONTRIB MINERAL PETROL,"NIELSEN, R L; CRUM, J; BOURGEOIS, R; HASCALL, K; FORSYTHE, L; FISK, M R; CHRISTIE, D M",KAK83NP,42.2572,-127.074,0.0001,-3048,-3048,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50.42,1.28,15.3,0.06,,,,9.41,,0.2,8.7,12.34,2.29,0.06,0.11,,
KAK83NP-2-009-001,,EARTHCHEMDB,,"PRELIMINARY GEOLOGICAL, GEOPHYSICAL, AND BIOLOGICAL DATA FROM THE GORDA RIDGE",US GEOL SURV OPEN FILE REP,"CLAGUE, D A; FRIESEN, W B; QUINTERNO, P; HOLMES, M; MORTON, J L; BOUSE, R; MORGENSON, L; DAVIS, A",KAK83NP,42.2572,-127.074,0.0001,-3048,-3048,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50.3,1.29,15.7,,,,,9.43,,0.19,8.23,12.1,2.33,0.07,0.12,,
KAK83NP-2-009-001,,EARTHCHEMDB,,"GEOLOGY, PETROLOGY AND MINERAL POTENTIAL OF THE GORDA RIDGE",CIRCUM-PAC COUNCIL ENERGY MIN RES,"CLAGUE, D A; HOLMES, M",KAK83NP,42.2572,-127.074,0.0001,-3048,-3048,,,,EMP,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50.3,1.29,15.7,,,,,9.43,,0.19,8.23,12.1,2.33,0.07,0.12,,
